iter	Passed	Remaining
0	362	72174
1	585	57931
2	713	46870
3	844	41382
4	952	37160
5	1056	34166
6	1171	32299
7	1278	30682
8	1403	29795
9	1525	28989
10	1633	28059
11	1737	27219
12	1833	26367
13	1944	25837
14	2134	26325
15	2248	25857
16	2372	25535
17	2484	25117
18	2616	24927
19	2741	24669
20	2855	24343
21	2988	24177
22	3090	23784
23	3201	23478
24	3318	23229
25	3414	22849
26	3531	22627
27	3638	22352
28	3734	22021
29	3834	21726
30	3946	21516
31	4073	21388
32	4196	21239
33	4289	20942
34	4402	20753
35	4505	20523
36	4523	19929
37	4714	20100
38	4733	19542
39	4843	19375
40	4953	19209
41	5149	19371
42	5256	19191
43	5364	19020
44	5513	18990
45	5610	18783
46	5714	18602
47	5816	18417
48	5915	18227
49	6016	18050
50	6109	17850
51	6218	17698
52	6328	17553
53	6425	17372
54	6530	17216
55	6632	17055
56	6726	16874
57	6842	16753
58	6949	16607
59	7046	16442
60	7144	16279
61	7237	16108
62	7333	15948
63	7449	15829
64	7557	15696
65	7670	15572
66	7773	15431
67	7882	15301
68	7986	15163
69	8108	15058
70	8221	14937
71	8333	14815
72	8443	14688
73	8545	14550
74	8642	14404
75	8753	14282
76	8854	14144
77	8964	14021
78	9085	13916
79	9195	13793
80	9311	13680
81	9404	13533
82	9509	13405
83	9609	13270
84	9823	13290
85	9938	13174
86	10042	13043887	10142	12908888	10258	12794889	10378	12684990	10482	12555991	10605	12449992	10710	12323993	10826	12208994	10928	12078995	11033	11952996	11149	11839997	11271	11731998	11378	11607999	11487	114871100	11595	113651101	11711	112511102	11827	111381103	11928	110101104	12034	108881105	12152	107761106	12252	106491107	12363	105321108	12477	10416
109	12593	10304
110	12700	10183
111	12817	10070
112	12922	9949
113	13034	9833
114	13133	9707
115	13236	9585
116	13351	9471
117	13448	9345
118	13555	9226
119	13670	9113
120	13768	8989
121	13876	8871
122	13971	8746
123	14097	8640
124	14201	8520
125	14305	8401
126	14401	8278
127	14509	8161
128	14621	8047
129	14724	7928
130	14831	7812
131	14935	7693
132	15029	7571
133	15143	7458
134	15260	7347
135	15377	7236
136	15501	7128
137	15606	7011
138	15711	6895
139	15821	6780
140	15911	6657
141	16013	6540
142	16126	6428
143	16237	6314
144	16332	6195
145	16443	6081
146	16549	5966
147	16655	5851
148	16760	5736
149	16877	5625
150	16971	5507
151	17079	5393
152	17187	5279
153	17300	5167
154	17423	5058
155	17530	4944
156	17634	4829
157	17750	4718
158	17858	4605
159	17958	4489
160	18051	4372
161	18153	4258
162	18274	4148
163	18393	4037
164	18512	3926
165	18662	3822
166	18804	3715
167	18905	3601
168	19012	3487
169	19120	3374
170	19222	3259
171	19346	3149
172	19453	3036
173	19567	2923
174	19688	2812
175	19788	2698
176	19895	2585
177	20005	2472
178	20108	2359
179	20213	2245
180	20317	2132
181	20429	2020
182	20536	1907
183	20638	1794
184	20752	1682
185	20867	1570
186	20960	1457
187	21050	1343
188	21125	1229
189	21187	1115
190	21253	1001
191	21320	888
192	21386	775
193	21456	663
194	21559	552
195	21637	441
196	21696	330
197	21757	219
198	21800	109
199	21842	0
